PART-Article,Data
PART IX - 243E,"Duration of Panchayats, etc.—(1) Every Panchayat, unlesssooner dissolved under any law for the time being in force, shall continue forfive years from the date appointed for its first meeting and no longer.(2) No amendment of any law for the time being in force shall have theeffect of causing dissolution of a Panchayat at any level, which is functioningimmediately before such amendment, till the expiration of its duration specifiedin clause (1).(3) An election to constitute a Panchayat shall be completed—(a) before the expiry of its duration specified in clause (1);(b) before the expiration of a period of six months from the date of itsdissolution:Provided that where the remainder of the period for which the dissolvedPanchayat would have continued is less than six months, it shall not benecessary to hold any election under this clause for constituting the Panchayatfor such period.(4) A Panchayat constituted upon the dissolution of a Panchayat beforethe expiration of its duration shall continue only for the remainder of the periodfor which the dissolved Panchayat would have continued under clause (1) had itnot been so dissolved."
PART IX - 243F,"Disqualifications for membership.—(1) A person shall bedisqualified for being chosen as, and for being, a member of a Panchayat—(a) if he is so disqualified by or under any law for the time being inforce for the purposes of elections to the Legislature of the Stateconcerned:Provided that no person shall be disqualified on the ground that he isless than twenty-five years of age, if he has attained the age of twentyone years;(b) if he is so disqualified by or under any law made by theLegislature of the State.(2) If any question arises as to whether a member of a Panchayat hasbecome subject to any of the disqualifications mentioned in clause (1), thequestion shall be referred for the decision of such authority and in such manneras the Legislature of a State may, by law, provide.110"
PART IX - 243G,"Powers, authority and responsibilities of Panchayats.—Subject to the provisions of this Constitution, the Legislature of a State may, bylaw, endow the Panchayats with such powers and authority as may benecessary to enable them to function as institutions of self-government andsuch law may contain provisions for the devolution of powers andresponsibilities upon Panchayats at the appropriate level, subject to suchconditions as may be specified therein, with respect to—(a) the preparation of plans for economic development and social justice;(b) the implementation of schemes for economic development andsocial justice as may be entrusted to them including those in relation tothe matters listed in the Eleventh Schedule."
PART IX - 243H,"Powers to impose taxes by, and Funds of, the Panchayats.—The Legislature of a State may, by law,—(a) authorise a Panchayat to levy, collect and appropriate such taxes,duties, tolls and fees in accordance with such procedure and subject tosuch limits;(b) assign to a Panchayat such taxes, duties, tolls and fees levied andcollected by the State Government for such purposes and subject to suchconditions and limits;(c) provide for making such grants-in-aid to the Panchayats from theConsolidated Fund of the State; and(d) provide for constitution of such Funds for crediting all moneysreceived, respectively, by or on behalf of the Panchayats and also for thewithdrawal of such moneys therefrom,as may be specified in the law."
PART IX - 243-I,"Constitution of Finance Commission to review financialposition.—(1) The Governor of a State shall, as soon as may be within oneyear from the commencement of the Constitution (Seventy-third Amendment)Act, 1992, and thereafter at the expiration of every fifth year, constitute aFinance Commission to review the financial position of the Panchayats and tomake recommendations to the Governor as to—(a) the principles which should govern—(i) the distribution between the State and the Panchayats of thenet proceeds of the taxes, duties, tolls and fees leviable by theState, which may be divided between them under this Part and theallocation between the Panchayats at all levels of their respectiveshares of such proceeds;111(ii) the determination of the taxes, duties, tolls and fees whichmay be assigned to, or appropriated by, the Panchayats;(iii) the grants-in-aid to the Panchayats from the ConsolidatedFund of the State;(b) the measures needed to improve the financial position of thePanchayats;(c) any other matter referred to the Finance Commission by theGovernor in the interests of sound finance of the Panchayats.(2) The Legislature of a State may, by law, provide for the compositionof the Commission, the qualifications which shall be requisite for appointmentas members thereof and the manner in which they shall be selected.(3) The Commission shall determine their procedure and shall have suchpowers in the performance of their functions as the Legislature of the Statemay, by law, confer on them.(4) The Governor shall cause every recommendation made by theCommission under this article together with an explanatory memorandum as tothe action taken thereon to be laid before the Legislature of the State."
PART IX - 243J,"Audit of accounts of Panchayats.—The Legislature of a Statemay, by law, make provisions with respect to the maintenance of accounts bythe Panchayats and the auditing of such accounts."
PART IX - 243K,"Elections to the Panchayats.—(1) The superintendence,direction and control of the preparation of electoral rolls for, and the conductof, all elections to the Panchayats shall be vested in a State ElectionCommission consisting of a State Election Commissioner to be appointed bythe Governor.(2) Subject to the provisions of any law made by the Legislature of aState, the conditions of service and tenure of office of the State ElectionCommissioner shall be such as the Governor may by rule determine:Provided that the State Election Commissioner shall not be removedfrom his office except in like manner and on the like grounds as a Judge of aHigh Court and the conditions of service of the State Election Commissionershall not be varied to his disadvantage after his appointment.112(3) The Governor of a State shall, when so requested by the StateElection Commission, make available to the State Election Commission suchstaff as may be necessary for the discharge of the functions conferred on theState Election Commission by clause (1).(4) Subject to the provisions of this Constitution, the Legislature of aState may, by law, make provision with respect to all matters relating to, or inconnection with, elections to the Panchayats."
PART IX - 243L,"Application to Union territories.—The provisions of this Partshall apply to the Union territories and shall, in their application to a Unionterritory, have effect as if the references to the Governor of a State werereferences to the Administrator of the Union territory appointed under article239 and references to the Legislature or the legislative Assembly of a Statewere references, in relation to a Union territory having a Legislative Assembly,to that Legislative Assembly:Provided that the President may, by public notification, direct that theprovisions of this Part shall apply to any Union territory or part thereof subjectto such exceptions and modifications as he may specify in the notification."
PART IX - 243M,"Part not to apply to certain areas.—(1) Nothing in this Partshall apply to the Scheduled Areas referred to in clause (1), and the tribal areasreferred to in clause (2), of article 244.(2) Nothing in this Part shall apply to—(a) the States of Nagaland, Meghalaya and Mizoram;(b) the hill areas in the State of Manipur for which District Councilsexist under any law for the time being in force.(3) Nothing in this Part—(a) relating to Panchayats at the district level shall apply to the hillareas of the District of Darjeeling in the State of West Bengal for whichDarjeeling Gorkha Hill Council exists under any law for the time beingin force;(b) shall be construed to affect the functions and powers of theDarjeeling Gorkha Hill Council constituted under such law.(3A) Nothing in article 243D, relating to reservation of seats for theScheduled Castes, shall apply to the State of Arunachal Pradesh.113(4) Notwithstanding anything in this Constitution,—(a) the Legislature of a State referred to in sub-clause (a) of clause(2) may, by law, extend this part to that State, except the areas, if any,referred to in clause (1), if the Legislative Assembly of that State passesa resolution to that effect by a majority of the total membership of thatHouse and by a majority of not less than two-thirds of the members ofthat House present and voting;(b) Parliament may, by law, extend the provisions of this Part to theScheduled Areas and the tribal areas referred to in clause (1) subject tosuch exceptions and modifications as may be specified in such law, andno such law shall be deemed to be an amendment of this Constitution forthe purposes of article 368."
PART IX - 243N,"Continuance of existing laws and Panchayats.—Notwithstanding anything in this Part, any provision of any law relating toPanchayats in force in a State immediately before the commencement of theConstitution (Seventy-third Amendment) Act, 1992, which is inconsistent withthe provisions of this Part, shall continue to be in force until amended orrepealed by a competent Legislature or other competent authority or until theexpiration of one year from such commencement, whichever is earlier:Provided that all the Panchayats existing immediately before suchcommencement shall continue till the expiration of their duration, unless soonerdissolved by a resolution passed to that effect by the Legislative Assembly ofthat State or, in the case of a State having a Legislative Council, by each Houseof the Legislature of that State."
PART IX - 243-O,"Bar to interference by courts in electoral matters.—Notwithstanding anything in this Constitution,—(a) the validity of any law relating to the delimitation ofconstituencies or the allotment of seats to such constituencies, made orpurporting to be made under article 243K, shall not be called in questionin any court;(b) no election to any Panchayat shall be called in question except byan election petition presented to such authority and in such manner as isprovided for by or under any law made by the Legislature of a State."
PART IXA - 243P,"Definitions.—In this Part, unless the context otherwiserequires,—(a) “Committee” means a Committee constituted under article 243S;(b) “district” means a district in a State;(c) “Metropolitan area” means an area having a population of tenlakhs or more, comprised in one or more districts and consisting of twoor more Municipalities or Panchayats or other contiguous areas,specified by the Governor by public notification to be a Metropolitanarea for the purposes of this Part;(d) “Municipal area” means the territorial area of a Municipality as isnotified by the Governor;(e) “Municipality” means an institution of self-governmentconstituted under article 243Q;(f) “Panchayat” means a Panchayat constituted under article 243B;(g) “population” means the population as ascertained at the lastpreceding census of which the relevant figures have been published."
PART IXA - 243Q,"Constitution of Municipalities.—(1) There shall be constitutedin every State,—(a) a Nagar Panchayat (by whatever name called) for a transitionalarea, that is to say, an area in transition from a rural area to an urbanarea;(b) a Municipal Council for a smaller urban area; and(c) a Municipal Corporation for a larger urban area,in accordance with the provisions of this Part:Provided that a Municipality under this clause may not be constituted insuch urban area or part thereof as the Governor may, having regard to the sizeof the area and the municipal services being provided or proposed to beprovided by an industrial establishment in that area and such other factors as hemay deem fit, by public notification, specify to be an industrial township.114115(2) In this article, “a transitional area”, “a smaller urban area” or “alarger urban area” means such area as the Governor may, having regard to thepopulation of the area, the density of the population therein, the revenuegenerated for local administration, the percentage of employment in nonagricultural activities, the economic importance or such other factors as he maydeem fit, specify by public notification for the purposes of this Part."
PART IXA - 243R,"Composition of Municipalities.—(1) Save as provided in clause(2), all the seats in a Municipality shall be filled by persons chosen by directelection from the territorial constituencies in the Municipal area and for thispurpose each Municipal area shall be divided into territorial constituencies tobe known as wards.(2) The Legislature of a State may, by law, provide—(a) for the representation in a Municipality of—(i) persons having special knowledge or experience inMunicipal administration;(ii) the members of the House of the People and the membersof the Legislative Assembly of the State representingconstituencies which comprise wholly or partly the Municipalarea;(iii) the members of the Council of States and the members ofthe Legislative Council of the State registered as electors withinthe Municipal area;(iv) the Chairpersons of the Committees constituted underclause (5) of article 243S:Provided that the persons referred to in paragraph (i) shall nothave the right to vote in the meetings of the Municipality;(b) the manner of election of the Chairperson of a Municipality."
PART IXA - 243S,"Constitution and composition of Wards Committees, etc.—(1)There shall be constituted Wards Committees, consisting of one or more wards,within the territorial area of a Municipality having a population of three lakhsor more.116(2) The Legislature of a State may, by law, make provision with respectto—(a) the composition and the territorial area of a Wards Committee;(b) the manner in which the seats in a Wards Committee shall befilled.(3) A member of a Municipality representing a ward within the territorialarea of the Wards Committee shall be a member of that Committee.(4) Where a Wards Committee consists of—(a) one ward, the member representing that ward in the Municipality;or(b) two or more wards, one of the members representing such wardsin the Municipality elected by the members of the Wards Committee,shall be the Chairperson of that Committee.(5) Nothing in this article shall be deemed to prevent the Legislature of aState from making any provision for the constitution of Committees in additionto the Wards Committees."
PART IXA - 243T,"Reservation of seats.—(1) Seats shall be reserved for theScheduled Castes and the Scheduled Tribes in every Municipality and thenumber of seats so reserved shall bear, as nearly as may be, the sameproportion to the total number of seats to be filled by direct election in thatMunicipality as the population of the Scheduled Castes in the Municipal area orof the Scheduled Tribes in the Municipal area bears to the total population ofthat area and such seats may be allotted by rotation to different constituenciesin a Municipality.(2) Not less than one-third of the total number of seats reserved underclause (1) shall be reserved for women belonging to the Scheduled Castes or, asthe case may be, the Scheduled Tribes.(3) Not less than one-third (including the number of seats reserved forwomen belonging to the Scheduled Castes and the Scheduled Tribes) of thetotal number of seats to be filled by direct election in every Municipality shallbe reserved for women and such seats may be allotted by rotation to differentconstituencies in a Municipality.117(4) The offices of Chairpersons in the Municipalities shall be reservedfor the Scheduled Castes, the Scheduled Tribes and women in such manner asthe Legislature of a State may, by law, provide.(5) The reservation of seats under clauses (1) and (2) and the reservation ofoffices of Chairpersons (other than the reservation for women) under clause (4)shall cease to have effect on the expiration of the period specified in article 334.(6) Nothing in this Part shall prevent the Legislature of a State frommaking any provision for reservation of seats in any Municipality or offices ofChairpersons in the Municipalities in favour of backward class of citizens."
PART IXA - 243U,"Duration of Municipalities, etc.—(1) Every Municipality, unlesssooner dissolved under any law for the time being in force, shall continue forfive years from the date appointed for its first meeting and no longer:Provided that a Municipality shall be given a reasonable opportunity ofbeing heard before its dissolution.(2) No amendment of any law for the time being in force shall have theeffect of causing dissolution of a Municipality at any level, which isfunctioning immediately before such amendment, till the expiration of itsduration specified in clause (1).(3) An election to constitute a Municipality shall be completed,—(a) before the expiry of its duration specified in clause (1);(b) before the expiration of a period of six months from the date of itsdissolution:Provided that where the remainder of the period for which the dissolvedMunicipality would have continued is less than six months, it shall not benecessary to hold any election under this clause for constituting theMunicipality for such period.(4) A Municipality constituted upon the dissolution of a Municipalitybefore the expiration of its duration shall continue only for the remainder of theperiod for which the dissolved Municipality would have continued under clause(1) had it not been so dissolved."
PART IXA - 243V,"Disqualifications for membership.—(1) A person shall bedisqualified for being chosen as, and for being, a member of a Municipality—(a) if he is so disqualified by or under any law for the time being in forcefor the purposes of elections to the Legislature of the State concerned:118Provided that no person shall be disqualified on the ground that he isless than twenty-five years of age, if he has attained the age of twentyone years;(b) if he is so disqualified by or under any law made by theLegislature of the State.(2) If any question arises as to whether a member of a Municipality hasbecome subject to any of the disqualifications mentioned in clause (1), thequestion shall be referred for the decision of such authority and in such manneras the Legislature of a State may, by law, provide."
PART IXA - 243W,"Powers, authority and responsibilities of Municipalities,etc.—Subject to the provisions of this Constitution, the Legislature of a Statemay, by law, endow—(a) the Municipalities with such powers and authority as may benecessary to enable them to function as institutions of self-governmentand such law may contain provisions for the devolution of powers andresponsibilities upon Municipalities, subject to such conditions as maybe specified therein, with respect to—(i) the preparation of plans for economic development and socialjustice;(ii) the performance of functions and the implementation ofschemes as may be entrusted to them including those in relation tothe matters listed in the Twelfth Schedule;(b) the Committees with such powers and authority as may benecessary to enable them to carry out the responsibilities conferred uponthem including those in relation to the matters listed in the TwelfthSchedule."
PART IXA - 243X,"Power to impose taxes by, and Funds of, the Municipalities.—The Legislature of a State may, by law,—(a) authorise a Municipality to levy, collect and appropriate suchtaxes, duties, tolls and fees in accordance with such procedure andsubject to such limits;(b) assign to a Municipality such taxes, duties, tolls and fees leviedand collected by the State Government for such purposes and subject tosuch conditions and limits;119(c) provide for making such grants-in-aid to the Municipalities fromthe Consolidated Fund of the State; and(d) provide for constitution of such Funds for crediting all moneysreceived, respectively, by or on behalf of the Municipalities and also forthe withdrawal of such moneys therefrom,as may be specified in the law."
PART IXA - 243Y,"Finance Commission.—(1) The Finance Commission constitutedunder article 243-I shall also review the financial position of the Municipalitiesand make recommendations to the Governor as to—(a) the principles which should govern—(i) the distribution between the State and the Municipalities ofthe net proceeds of the taxes, duties, tolls and fees leviable by theState, which may be divided between them under this Part and theallocation between the Municipalities at all levels of their respectiveshares of such proceeds;(ii) the determination of the taxes, duties, tolls and fees whichmay be assigned to, or appropriated by, the Municipalities;(iii) the grants-in-aid to the Municipalities from theConsolidated Fund of the State;(b) the measures needed to improve the financial position of theMunicipalities;(c) any other matter referred to the Finance Commission by theGovernor in the interests of sound finance of the Municipalities.(2) The Governor shall cause every recommendation made by theCommission under this article together with an explanatory memorandum as tothe action taken thereon to be laid before the Legislature of the State."
PART IXA - 243Z,"Audit of accounts of Municipalities.—The Legislature of a Statemay, by law, make provisions with respect to the maintenance of accounts bythe Municipalities and the auditing of such accounts."
PART IXA - 243ZA,"Elections to the Municipalities.—(1) The superintendence,direction and control of the preparation of electoral rolls for, and the conductof, all elections to the Municipalities shall be vested in the State ElectionCommission referred to in article 243K.120(2) Subject to the provisions of this Constitution, the Legislature of aState may, by law, make provision with respect to all matters relating to, or inconnection with, elections to the Municipalities."
PART IXA - 243ZB,"Application to Union territories.—The provisions of this Partshall apply to the Union territories and shall, in their application to a Unionterritory, have effect as if the references to the Governor of a State werereferences to the Administrator of the Union territory appointed under article239 and references to the Legislature or the Legislative Assembly of a Statewere references in relation to a Union territory having a Legislative Assembly,to that Legislative Assembly:Provided that the President may, by public notification, direct that theprovisions of this Part shall apply to any Union territory or part thereof subjectto such exceptions and modifications as he may specify in the notification."
PART IXA - 243ZC,"Part not to apply to certain areas.—(1) Nothing in this Partshall apply to the Scheduled Areas referred to in clause (1), and the tribal areasreferred to in clause (2), of article 244.(2) Nothing in this Part shall be construed to affect the functions andpowers of the Darjeeling Gorkha Hill Council constituted under any law for thetime being in force for the hill areas of the district of Darjeeling in the State ofWest Bengal.(3) Notwithstanding anything in this Constitution, Parliament may, bylaw, extend the provisions of this Part to the Scheduled Areas and the tribalareas referred to in clause (1) subject to such exceptions and modifications asmay be specified in such law, and no such law shall be deemed to be anamendment of this Constitution for the purposes of article 368."
PART IXA - 243ZD,"Committee for district planning.—(1) There shall beconstituted in every State at the district level a District Planning Committee toconsolidate the plans prepared by the Panchayats and the Municipalities in thedistrict and to prepare a draft development plan for the district as a whole.(2) The Legislature of a State may, by law, make provision with respectto—(a) the composition of the District Planning Committees;(b) the manner in which the seats in such Committees shall befilled:121Provided that not less than four-fifths of the total number of members ofsuch Committee shall be elected by, and from amongst, the elected members ofthe Panchayat at the district level and of the Municipalities in the district inproportion to the ratio between the population of the rural areas and of theurban areas in the district;(c) the functions relating to district planning which may beassigned to such Committees;(d) the manner in which the Chairpersons of such Committeesshall be chosen.(3) Every District Planning Committee shall, in preparing the draftdevelopment plan,—(a) have regard to—(i) matters of common interest between the Panchayats andthe Municipalities including spatial planning, sharing of water andother physical and natural resources, the integrated developmentof infrastructure and environmental conservation;(ii) the extent and type of available resources whetherfinancial or otherwise;(b) consult such institutions and organisations as the Governormay, by order, specify.(4) The Chairperson of every District Planning Committee shall forwardthe development plan, as recommended by such Committee, to the Governmentof the State."
PART IXA - 243ZE,"Committee for Metropolitan planning.—(1) There shall beconstituted in every Metropolitan area a Metropolitan Planning Committee toprepare a draft development plan for the Metropolitan area as a whole.(2) The Legislature of a State may, by law, make provision with respect to—(a) the composition of the Metropolitan Planning Committees;(b) the manner in which the seats in such Committees shall be filled:Provided that not less than two-thirds of the members of suchCommittee shall be elected by, and from amongst, the elected membersof the Municipalities and Chairpersons of the Panchayats in theMetropolitan area in proportion to the ratio between the population ofthe Municipalities and of the Panchayats in that area;(c) the representation in such Committees of the Government ofIndia and the Government of the State and of such organisations andInstitutions as may be deemed necessary for carrying out the functionsassigned to such Committees;122(d) the functions relating to planning and coordination for theMetropolitan area which may be assigned to such Committees;(e) the manner in which the Chairpersons of such Committeesshall be chosen.(3) Every Metropolitan Planning Committee shall, in preparing the draftdevelopment plan,—(a) have regard to—(i) the plans prepared by the Municipalities and thePanchayats in the Metropolitan area;(ii) matters of common interest between the Municipalitiesand the Panchayats, including co-ordinated spatial planning of thearea, sharing of water and other physical and natural resources,the integrated development of infrastructure and environmentalconservation;(iii) the overall objectives and priorities set by theGovernment of India and the Government of the State;(iv) the extent and nature of investments likely to be madein the Metropolitan area by agencies of the Government of Indiaand of the Government of the State and other available resourceswhether financial or otherwise;(b) consult such institutions and organisations as the Governormay, by order, specify.(4) The Chairperson of every Metropolitan Planning Committee shallforward the development plan, as recommended by such Committee, to theGovernment of the State."
PART IXA - 243ZF,"Continuance of existing laws and Municipalities.—Notwithstanding anything in this Part, any provision of any law relating toMunicipalities in force in a State immediately before the commencement of theConstitution (Seventy-fourth Amendment) Act, 1992, which is inconsistentwith the provisions of this Part, shall continue to be in force until amended orrepealed by a competent Legislature or other competent authority or until theexpiration of one year from such commencement, whichever is earlier:Provided that all the Municipalities existing immediately before suchcommencement shall continue till the expiration of their duration, unlesssooner dissolved by a resolution passed to that effect by the LegislativeAssembly of that State or, in the case of a State having a Legislative Council,by each House of the Legislature of that State.123"
PART IXA - 243ZG,"Bar to interference by courts in electoral matters.—Notwithstanding anything in this Constitution,—(a) the validity of any law relating to the delimitation ofconstituencies or the allotment of seats to such constituencies, made orpurporting to be made under article 243ZA shall not be called inquestion in any court;(b) no election to any Municipality shall be called in questionexcept by an election petition presented to such authority and in suchmanner as is provided for by or under any law made by the Legislatureof a State."
PART X - 244,"Administration of Scheduled Areas and tribal areas.—(1) Theprovisions of the Fifth Schedule shall apply to the administration and control ofthe Scheduled Areas and Scheduled Tribes in any State other than the States ofAssam Meghalaya, Tripura and Mizoram.(2) The provisions of the Sixth Schedule shall apply to theadministration of the tribal areas in the States of Assam Meghalaya, Tripuraand Mizoram."
PART X - 244A,"Formation of an autonomous State comprising certain tribalareas in Assam and creation of local Legislature or Council of Ministers orboth therefor.—(1) Notwithstanding anything in this Constitution, Parliamentmay, by law, form within the State of Assam an autonomous State comprising(whether wholly or in part) all or any of the tribal areas specified in Part I of thetable appended to paragraph 20 of the Sixth Schedule and create therefor—(a) a body, whether elected or partly nominated and partlyelected, to function as a Legislature for the autonomous State, or(b) a Council of Ministers,or both with such constitution, powers and functions, in each case, as may bespecified in the law.(2) Any such law as is referred to in clause (1) may, in particular,—(a) specify the matters enumerated in the State List or theConcurrent List with respect to which the Legislature of the autonomousState shall have power to make laws for the whole or any part thereof,whether to the exclusion of the Legislature of the State of Assam orotherwise;(b) define the matters with respect to which the executive powerof the autonomous State shall extend;(c) provide that any tax levied by the State of Assam shall beassigned to the autonomous State in so far as the proceeds thereof areattributable to the autonomous State;(d) provide that any reference to a State in any article of thisConstitution shall be construed as including a reference to theautonomous State; and124125(e) make such supplemental, incidental and consequentialprovisions as may be deemed necessary.(3) An amendment of any such law as aforesaid in so far as suchamendment relates to any of the matters specified in sub-clause (a) or subclause (b) of clause (2) shall have no effect unless the amendment is passed ineach House of Parliament by not less than two-thirds of the members presentand voting.(4) Any such law as is referred to in this article shall not be deemed tobe an amendment of this Constitution for the purposes of article 368notwithstanding that it contains any provision which amends or has the effectof amending this Constitution."
PART XI - 245,"Extent of laws made by Parliament and by the Legislatures ofStates.—(1) Subject to the provisions of this Constitution, Parliament maymake laws for the whole or any part of the territory of India, and theLegislature of a State may make laws for the whole or any part of the State.(2) No law made by Parliament shall be deemed to be invalid on theground that it would have extra-territorial operation."
PART XI - 246,"Subject-matter of laws made by Parliament and by theLegislatures of States.—(1) Notwithstanding anything in clauses (2) and (3),Parliament has exclusive power to make laws with respect to any of the mattersenumerated in List I in the Seventh Schedule (in this Constitution referred to asthe “Union List”).(2) Notwithstanding anything in clause (3), Parliament, and, subject toclause (1), the Legislature of any State also, have power to make laws withrespect to any of the matters enumerated in List III in the Seventh Schedule (inthis Constitution referred to as the “Concurrent List”).(3) Subject to clauses (1) and (2), the Legislature of any State hasexclusive power to make laws for such State or any part thereof with respect toany of the matters enumerated in List II in the Seventh Schedule (in thisConstitution referred to as the “State List”').(4) Parliament has power to make laws with respect to any matter forany part of the territory of India not included in a State notwithstanding thatsuch matter is a matter enumerated in the State List."
PART XI - 246A,"(1) Notwithstanding anything contained in articles 246 and 254,Parliament, and, subject to clause (2), the Legislature of every State, have power tomake laws with respect to goods and services tax imposed by the Union or by suchState.(2) Parliament has exclusive power to make laws with respect to goods andservices tax where the supply of goods, or of services, or both takes place in thecourse of inter-State trade or commerce.Explanation.—The provisions of this article, shall, in respect of goods andservices tax referred to in clause (5) of article 279A, take effect from the daterecommended by the Goods and Services Tax Council."
PART XI - 247,"Power of Parliament to provide for the establishment of certainadditional courts.—Notwithstanding anything in this Chapter, Parliament mayby law provide for the establishment of any additional courts for the betteradministration of laws made by Parliament or of any existing laws with respectto a matter enumerated in the Union List.126127"
PART XI - 248,"Residuary powers of legislation.—(1) Subject to article 246A, Parliament has exclusivepower to make any law with respect to any matter not enumerated in theConcurrent List or State List.(2) Such power shall include the power of making any law imposing atax not mentioned in either of those Lists."
PART XI - 249,"Power of Parliament to legislate with respect to goods and services tax provided under article 246A or a matter in theState List in the national interest.—(1) Notwithstanding anything in theforegoing provisions of this Chapter, if the Council of States has declared byresolution supported by not less than two-thirds of the members present andvoting that it is necessary or expedient in the national interest that Parliamentshould make laws with respect to any matter enumerated in the State Listspecified in the resolution, it shall be lawful for Parliament to make laws for thewhole or any part of the territory of India with respect to that matter while theresolution remains in force.(2) A resolution passed under clause (1) shall remain in force for suchperiod not exceeding one year as may be specified therein:Provided that, if and so often as a resolution approving the continuancein force of any such resolution is passed in the manner provided in clause (1),such resolution shall continue in force for a further period of one year from thedate on which under this clause it would otherwise have ceased to be in force.(3) A law made by Parliament which Parliament would not but for thepassing of a resolution under clause (1) have been competent to make shall, to theextent of the incompetency, cease to have effect on the expiration of a period ofsix months after the resolution has ceased to be in force, except as respects thingsdone or omitted to be done before the expiration of the said period."
PART XI - 250,"Power of Parliament to legislate with respect to goods and services tax provided under article 246A or any matter inthe State List if a Proclamation of Emergency is in operation.—(1)Notwithstanding anything in this Chapter, Parliament shall, while aProclamation of Emergency is in operation, have power to make laws for thewhole or any part of the territory of India with respect to any of the mattersenumerated in the State List.(2) A law made by Parliament which Parliament would not but for theissue of a Proclamation of Emergency have been competent to make shall, to theextent of the incompetency, cease to have effect on the expiration of a period ofsix months after the Proclamation has ceased to operate, except as respects thingsdone or omitted to be done before the expiration of the said period.128"
PART XI - 251,"Inconsistency between laws made by Parliament under articles249 and 250 and laws made by the Legislatures of States.—Nothing inarticles 249 and 250 shall restrict the power of the Legislature of a State tomake any law which under this Constitution it has power to make, but if anyprovision of a law made by the Legislature of a State is repugnant to anyprovision of a law made by Parliament which Parliament has under either of thesaid articles power to make, the law made by Parliament, whether passedbefore or after the law made by the Legislature of the State, shall prevail, andthe law made by the Legislature of the State shall to the extent of therepugnancy, but so long only as the law made by Parliament continues to haveeffect, be inoperative."
PART XI - 252,"Power of Parliament to legislate for two or more States byconsent and adoption of such legislation by any other State.—(1) If itappears to the Legislatures of two or more States to be desirable that any of thematters with respect to which Parliament has no power to make laws for theStates except as provided in articles 249 and 250 should be regulated in suchStates by Parliament by law, and if resolutions to that effect are passed by allthe Houses of the Legislatures of those States, it shall be lawful for Parliamentto pass an act for regulating that matter accordingly, and any Act so passedshall apply to such States and to any other State by which it is adoptedafterwards by resolution passed in that behalf by the House or, where there aretwo Houses, by each of the Houses of the Legislature of that State.(2) Any Act so passed by Parliament may be amended or repealed by anAct of Parliament passed or adopted in like manner but shall not, as respectsany State to which it applies, be amended or repealed by an Act of theLegislature of that State."
PART XI - 253,"Legislation for giving effect to international agreements.—Notwithstanding anything in the foregoing provisions of this Chapter,Parliament has power to make any law for the whole or any part of the territoryof India for implementing any treaty, agreement or convention with any othercountry or countries or any decision made at any international conference,association or other body129"
PART XI - 254,"Inconsistency between laws made by Parliament and laws madeby the Legislatures of States.—(1) If any provision of a law made by theLegislature of a State is repugnant to any provision of a law made byParliament which Parliament is competent to enact, or to any provision of anexisting law with respect to one of the matters enumerated in the ConcurrentList, then, subject to the provisions of clause (2), the law made by Parliament,whether passed before or after the law made by the Legislature of such State,or, as the case may be, the existing law, shall prevail and the law made by theLegislature of the State shall, to the extent of the repugnancy, be void.(2) Where a law made by the Legislature of a State with respect to one ofthe matters enumerated in the Concurrent List contains any provision repugnantto the provisions of an earlier law made by Parliament or an existing law withrespect to that matter, then, the law so made by the Legislature of such Stateshall, if it has been reserved for the consideration of the President and hasreceived his assent, prevail in that State:Provided that nothing in this clause shall prevent Parliament fromenacting at any time any law with respect to the same matter including a lawadding to, amending, varying or repealing the law so made by the Legislatureof the State."
PART XI - 255,"Requirements as to recommendations and previous sanctions tobe regarded as matters of procedure only.—No Act of Parliament or of theLegislature of a State, and no provision in any such Act, shall be invalid byreason only that some recommendation or previous sanction required by thisConstitution was not given, if assent to that Act was given—(a) where the recommendation required was that of the Governor,either by the Governor or by the President;(b) where the recommendation required was that of theRajpramukh, either by the Rajpramukh or by the President;(c) where the recommendation or previous sanction required wasthat of the President, by the President.CHAPTER II.—ADMINISTRATIVE RELATIONSGeneral"
PART XI - 256,"Obligation of States and the Union.—The executive power of everyState shall be so exercised as to ensure compliance with the laws made byParliament and any existing laws which apply in that State, and the executivepower of the Union shall extend to the giving of such directions to a State as mayappear to the Government of India to be necessary for that purpose.130"
PART XI - 257,"Control of the Union over States in certain cases.—(1) Theexecutive power of every State shall be so exercised as not to impede orprejudice the exercise of the executive power of the Union, and the executivepower of the Union shall extend to the giving of such directions to a State asmay appear to the Government of India to be necessary for that purpose.(2) The executive power of the Union shall also extend to the giving ofdirections to a State as to the construction and maintenance of means ofcommunication declared in the direction to be of national or militaryimportance:Provided that nothing in this clause shall be taken as restricting thepower of Parliament to declare highways or waterways to be national highwaysor national waterways or the power of the Union with respect to the highwaysor waterways so declared or the power of the Union to construct and maintainmeans of communication as part of its functions with respect to naval, militaryand air force works.(3) The executive power of the Union shall also extend to the giving ofdirections to a State as to the measures to be taken for the protection of therailways within the State.(4) Where in carrying out any direction given to a State under clause (2)as to the construction or maintenance of any means of communication or underclause (3) as to the measures to be taken for the protection of any railway, costshave been incurred in excess of those which would have been incurred in thedischarge of the normal duties of the State if such direction had not been given,there shall be paid by the Government of India to the State such sum as may beagreed, or, in default of agreement, as may be determined by an arbitratorappointed by the Chief Justice of India, in respect of the extra costs so incurredby the State."
